path,label
image1.png,0
image2.png,1
image3.png,1
image4.png,0
image5.png,1
image6.png,1
image7.png,0
image8.png,0
image9.png,0
image10.png,0
image11.png,1
image12.png,0
image13.png,1
image14.png,0
image15.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,0
image16.png,1
image16.png,0
image16.png,0
image16.png,1
image16.png,0
image16.png,1
image16.png,1
image16.png,0
image16.png,0
image16.png,0
image16.png,0
image16.png,1
image16.png,1
image16.png,1
image16.png,1
image16.png,1
